School Name	Charter (Y/N)	District #	SpEd (%)	Free & Reduced Lunch (%)	District Enrollment	MCA Reading Proficiency %	MCA Reading proficiency % for F&R	Tier 1 Reading Curriculum Used	Tier 2 Reading Interventions Materials	Screening Vendor 1	Screening Vendor 2	Screening measures	Progress Monitoring Measures
Three Rivers Montessori School	Y	4266	22.3	24.8	<1000	44.7	N/A	Montessori Curriculum,	LLI, Read Naturally	FastBridge		FAST earlyReading, aReading	FAST probes
RED LAKE PUBLIC SCHOOL DISTRICT	N	38	22.9	88.5	1000-2999	10.4	8.90%	Treasures (Red Lake) and Making Meaning	Information Not Available	FastBridge		FAST earlyReading, aReading	FAST earlyReading, aReading
WIN-E-MAC SCHOOL DISTRICT	N	2609	16.2	51.2	<1000	59.3	46.80%	Houghton/Mifflin Basal Reading Instruction, Differentiated Instruction & Guided Reading	Information Not Available	NWEA-MAP	Star	NWEA-MAP, STAR reading, DRA	summative curriculum assessments
Woodbury Leadership Academy	Y	4228	12	11.7	<1000	58.1	35.70%	CKLA, Reading A-Z	Information Not Available	Other	NWEA-MAP	CORE KNOWLEDGE SKILL STRAND BENCHMARKS, NWEA-MAP, Reading A-Z tests, F & P tests	CORE KNOWLEDGE SKILL STRAND BENCHMARKS, NWEA-MAP, Reading A-Z tests, F & P tests
ST. ANTHONY-NEW BRIGHTON SCHOOLS	N	282	11.5	30.8	1000-2999	58.6	34.30%	Leveled Literacy Intervention, and Wilson Reading Series	Guided Reading, PRESS, Orton Gillingham based phonics, Heggerity strategies, phonemic awareness activities, LLI, LETRS	AIMSweb	NWEA-MAP	Developmental Reading Assessments, MAP, and AIMSWeb, FAST assessments	FAST assessments, Rigby’s PM Benchmark Assessment
ACHIEVE LANGUAGE ACADEMY	Y	4018	7.8	85.6	<1000	24.2	20.90%	Fountas and Pinnell Literacy curriculum	LLI, Reading A-Z, Reading Horizons	FastBridge	NWEA-MAP	NWEA-MAP, FAST earlyreading, CBMs, LLI assessments, Reading A-Z tests, Reading Horizons tests, BAS	NWEA-MAP, FAST earlyreading, CBMs, LLI assessments, Reading A-Z tests, Reading Horizons tests, BAS
Ada-Borup-West Public Schools	N	2910	17.1	50.4	<1000	60.8	52.10%	PRESS	Information Not Available	Star	Benchmark Assessment System	STAR early literacy, Reading, BAS, PRESS assessments	STAR early literacy, Reading, BAS, PRESS assessments
Anoka-Hennepin School District	N	11	18.4	42.4	>20,000	55.6	36.80%	McGraw Hill’s Reading Wonders.	Reading Wonders Tier 2	NWEA-MAP	FastBridge	NWEA-MAP, FAST earlyreading, ORF, Reading Wonders assessments	FAST subtests, Wonders Progress Monitoring
ALEXANDRIA PUBLIC SCHOOL DISTRICT	N	206	19.6	33.2	4000-4999	53.7	34.60%	Balanced Literacy framework	Information Not Available	Star	FastBridge	Fountas and Pinnell text leveling assessment in grades 1-2 and STAR reading assessment in grade 2-3 and FAST K-1	Fountas and Pinnell text leveling assessment in grades 1-2 and STAR reading assessment in grade 2-3 and FAST K-1, High Frequency Word lists, Spelling Inventories
ALBERT LEA PUBLIC SCHOOL DISTRICT	N	241	18.4	62.3	3000-3999	39.9	25.70%	Benchmark Literacy	Read Naturally, Guided Reading, Incremental Rehearsal, Pencil Tap, Benchmark Literacy Phonics, Word Work Interventions	FastBridge		FAST earlyReading, aReading	FAST Progress Monitoring
AURORA CHARTER SCHOOL	Y	4067	12.4	87.4	<1000	16.6	18.30%	Benchmark Advance and Adelante curriculum	LLI	Benchmark Assessment System	NWEA-MAP	NWEA-MAP, BAS,	NWEA-MAP, BAS,
Aurora Waasakone Community of Learn	Y	4271	27.2	60	<1000	41.1	28.60%	Daily 5/CAFE, Words Their Way	Information Not Available	Other		DRA	DRA
AUSTIN PUBLIC SCHOOL DISTRICT	N	492	19.2	67.1	5000-9999	36.1	24.80%	Benchmark Advance	Information Not Available	Star		STAR early literacy, CBM-ORF, Reading	STAR CBM-ORF
BADGER PUBLIC SCHOOL DISTRICT	N	676	20.4	52	<1000	51.4	44.40%	MacMillan/McGraw-Hill Treasures	Reading A-Z,	NWEA-MAP	Star	NWEA-MAP, STAR early literacy and Reading, DIBELS	NWEA-MAP, STAR early literacy and Reading, DIBELS
BARNESVILLE PUBLIC SCHOOL DIST.	N	146	13.8	23	<1000	63.3	56.10%	Guided Reading	Study Island, Great Leaps, Sound Partners, Read Naturally, RTI groups, Accelerated Reader, Spelling City, RAZ Reading, MCA practice tests, Minnesota Center for Reading Research, and Florida Center for Reading Research	Star	Benchmark Assessment System	STAR early literacy, ORF, BAS	STAR tests
BELGRADE-BROOTEN-ELROSA SCHOOL DIST	N	2364	17.8	42.9	<1000	50.8	25.00%	SRA Open Court by McGraw Hill Education	companion reading, PALS, Guided Reading, LiPS, road to code, 6 minute solution, read naturally, Newscaster, Duet reading, repeated reading, Great Leaps, 18 minute solution, Wordly wise 3000, Reading Trends	Star		STAR360 early literacy, CBM-ORF, Reading	STAR360 early literacy, CBM-ORF, Reading
BROOKLYN CENTER SCHOOL DISTRICT	N	286	18.4	80.7	1000-2999	16.1	13.00%	Benchmark Literacy	LLI	Benchmark Assessment System	FastBridge	FAST earlyreading, aReading	FAST PM probes
BEACON ACADEMY	N	4124	15	51.4	<1000	35.3	25.50%	Benchmark Literacy	PRESS	NWEA-MAP	Other	NWEA-MAP, Benchmark Literacy Assessments, Read Naturally fluency tests , PRESS Inventories	Information Not Available
BEMIDJI PUBLIC SCHOOL DISTRICT	N	31	21.7	48.5	4000-4999	50.4	30.20%	MyView curriculum	sound boxes, blending pathways, three ways of remembering, line by line letter ID, read cover remember retell	FastBridge	NWEA-MAP	NWEA-MAP, FAST earlyreading, aReading, CBMs	FAST PM probes
Buffalo-Hanover-Montrose Schools	N	877	20.3	29.7	5000-9999		43.30%	Information Not Available	Information Not Available	Accadience		Acadience NWF, LSF, ORF, LNF, NWEA-MAP	Information Not Available
BIG LAKE PUBLIC SCHOOL DISTRICT	N	727	19.1	37.3	3000-3999	54	38.30%	PRESS, Sonday, Read Naturally	SONDAY, Reading Intervention for Students to Excel (RISE), PRESS, Florida Center for Reading Research (FCRR ) , Read Naturally, Words Their Way	FastBridge		FAST earlyreading, aReading, CBMs	FAST PM probes
BIRCH GROVE COMMUNITY SCHOOL	Y	4145	16.7	45.2	<1000	81.8	N/A	Houghton Mifflin, LiPS, Sonday	Information Not Available	NWEA-MAP	Other	NWEA-MAP, Rigby PM Benchmark, DIBELS Data system, Houghton-Mifflin curriculum assessments	Houghton-Mifflin curriculum assessments , Sonday checklist
Buffalo Lake-Hector-Stewart	N	2159	19.7	53.6	<1000	46.5	37.30%	Reading Wonders by McGraw Hill,	reading rockets, reading eggs, starfall	FastBridge	Other	FAST and PRESS assessments, STAR Early Literacy and STAR Reading Enterprise Assessments	FAST and PRESS assessments, STAR Early Literacy and STAR Reading Enterprise Assessments
BLOOMINGTON PUBLIC SCHOOL DISTRICT	N	271	17.7	49.8	10,000-19,999	49.4	24.00%	Making Meaning, Benchmark Phonics Word Study	PRESS, LLI	NWEA-MAP	Benchmark Assessment System	NWEA-MAP, Fountas and Pinnell Benchmark Assessment System (BAS) Oral Reading and Comprehension Conversation Assessment	FastBridge assessments, PRESS assessments, Dynamic Indicators of Basic Literacy Skills (DIBELS) probes, and/or Curriculum Based Measures (CBMs)
BLUFFVIEW MONTESSORI	Y	4001	7.5	28.8	<1000	70.5	56.00%	Montessori Curriculum	SPIRE, PRESS, SRA Corrective Reading, eSolution, Phonics for Reading, ROAR, PALS,CARS, STARS, Sonday, Leveled LIteracy Interventions, and Readworks.	FastBridge		FAST earlyreading, CBM-R, aReading,	FAST probes
CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST	N	911	20.2	38.8	5000-9999	50.4	34.50%	PRESS	PRESS, ADSIS	NWEA-MAP		NWEA-MAP	DIBELS early literacy, MAZE, and CBMs
CANNON FALLS PUBLIC SCHOOL DISTRICT	N	252	17.8	29.1	1000-2999	57.1	48.20%	Information Not Available	PRESS , IXL, AR	FastBridge		FAST aReading, CBMreading English, Early Reading	FAST probes, Houghton Mifflin (HM) weekly skills test  
CANNON RIVER STEM SCHOOL	Y	4194	15.5	62.7	<1000	32.3	25.00%	Benchmark Universe	LLI, SONDAY, Read Naturally	Benchmark Assessment System	NWEA-MAP	Developmental Reading Assessment (DRA), the Fountas and Pinnell Assessment (F&P), the NWEA MAP tests, FAST assessments	FAST assessments
ACADEMIA CESAR CHAVEZ CHARTER SCH.	Y	4073	12.6	85.9	<1000	17.6	16.30%	Heggerty Phonemic Awareness Curriculum	Information Not Available	NWEA-MAP		NWEA-MAP	FAST CBM-R
CHISHOLM PUBLIC SCHOOL DISTRICT	N	695	21.6	51.3	<1000	41.7	34.80%	Information Not Available	Information Not Available	Star	Other	MacMillan McGraw-Hill Fluency Assessment, STAR Reading/Early Literacy,Fountas & Pinnell List, Dolch Word List	Information Not Available
CLEARBROOK-GONVICK SCHOOL DISTRICT	N	2311	17.9	55.9	<1000	51.2	37.00%	Information Not Available	Information Not Available	NWEA-MAP	Other	NWEA-MAP, Developmental Reading Assessment (DRA),	Information Not Available
CEDAR MOUNTAIN SCHOOL DISTRICT	N	2754	27.3	50.3	<1000	46.2	41.30%	Guided Reading + Wonders reading curriculum	IXL, PRESS, AR, Study Island, Moby Max,	FastBridge	Star	FAST earlyReading, CBM-R, STAR assessments	
COLUMBIA HEIGHTS PUBLIC SCHOOL DIST	N	13	16.9	81.8	3000-3999	26.5	21.50%	Wonders (K-1) Literacy by Design (2-5)	Moby Max, Read Naturally	FastBridge		FAST LNF, LSF, ORF/CBMs	FAST probes, Wonders curriculum assessments, Literacy by Benchmark Design Assesments, PRESS skill progress
COLOGNE ACADEMY	Y	4188	13.6	19	<1000	71.9	42.50%	CKLA Skills	CKLA Readers, Reading A-Z books, Moby Max, Road to the Code , Road to Reading , Fountas and Pinnell Leveled Literacy Intervention and FASTBridge Intervention Resources	FastBridge	Other	FASTBridge Assessment, CKLA Skills assessments and running records, and teacher developed assessment	FAST assessments
COOK COUNTY PUBLIC SCHOOLS	N	166	25.7	52.1	<1000	57.3	44.40%	StoryTown	The Barton Reading & Spelling System ● Rigby Leveled PM Story Books Reading A-Z Decodable and Sight Word Books ● Early Intervention in Reading Program ● Orton-Gillingham Multi-Sensory approach to teaching reading ● Great Leaps Intervention program ● Repeated Readings Fluency Interventions	AIMSweb	NWEA-MAP	AIMSweb early literacy, Reading, and Maze, NWEA	AIMSweb probes
COMMUNITY OF PEACE ACADEMY	Y	4015	17.5	88.6	<1000	22	17.70%	Houghton Mifflin Harcourt’s Into Reading (2020)	Information Not Available	FastBridge		FAST earlyReading, aReading, AutoReading, and CBMR-English	FAST probes
COLLEGE PREPARATORY ELEMENTARY	Y	4193	8.8	>90	<1000	14.7	14.30%	Starfall, SuperKids (K-2), Benchmark Literacy (3-6)	Scholastic Guided Reading Leveled Program, Reading A-Z,	NWEA-MAP	DIBELS	NWEA-MAP, DRA, DIBELS assessments	Information Not Available
CALEDONIA PUBLIC SCHOOL DISTRICT	N	299	17.1	29.2	<1000	63.5	57.10%	Reading Street	Information Not Available	FastBridge	i-Ready	FAST assessments, i-Ready, IRLA	Information Not Available
DOVER-EYOTA PUBLIC SCHOOL DISTRICT	N	533	13	22.2	1000-2999	53.4	36.50%	Fountas & Pinnell literacy system	Information Not Available	Benchmark Assessment System	FastBridge	BAS, FAST earlyReading, aReading	FAST LSF, LNF, Word Segmentation, Nonsesne Words, CBM-R
OSSEO PUBLIC SCHOOL DISTRICT	N	279	14.7	48.1	>20,000	50.3	29.70%	Benchmark Literacy	Information Not Available	FastBridge		FAST earlyReading, CBM-R , aReading	FAST probes
DETROIT LAKES PUBLIC SCHOOL DIST.	N	22	21.3	45	1000-2999		40.50%	Information Not Available	Information Not Available	Benchmark Assessment System	Star	BAS, STAR early literacy, F & P HFW	Information Not Available
DULUTH PUBLIC SCHOOLS ACADEMY	Y	4020	27	51.1	<1000	43.3	28.50%	Journeys and Fundations	LLI, Journeys, Dr. Sherri Dobbs Interventions and Progress Monitoring , Linda Mood-Bell Seeing Stars, Linda Mood-Bell Visualizing and Verbalizing, LiPs, Wilson Reading System 	DIBELS	Benchmark Assessment System	DIBELS early literacy and reading, BAS, NWEA-MAP, Mondo Oral Language, Fundations Unit Assessments	DIBELS probes
EDGERTON PUBLIC SCHOOL DISTRICT	N	581	12.9	52.5	<1000	40.3	30.00%	IntoReading, Heggerty, Really Great Reading	LLI, Guided Reading, Heggerty	FastBridge	Other	FAST earlyreading, CBM-R, DRA, STAR assessments	FAST probes
EDINA PUBLIC SCHOOL DISTRICT	N	273	14.3	18.6	<1000	73.6	40.00%	Center for the Collaborative Classroom reading and SONDAY Essentials	SONDAY, HillRap, Orton-Gillingham, LLI, PALS	FastBridge	Benchmark Assessment System	NWEA-MAP, BAS, FAST aReading, earlyReading, CBM-R	FAST probes
ELY PUBLIC SCHOOL DISTRICT	N	696	12.4	36.9	<1000		45.00%	Information Not Available	Information Not Available	FastBridge	Star	FAST earlyreading, aReading, STAR assessments	Information Not Available
EDEN VALLEY-WATKINS SCHOOL DISTRICT	N	463	19.9	31.7	<1000	52.5	45.00%	Journeys, SONDAY, Next Step Guided Program	LiPs, Reading Mastery, Read Naturally, Repeated Reading, Trophies Intervention Kit, SPIRE, PALS, PRESS, Newscaster, Pencil Tap, Stop Go, Duet Reading, Sound Partners	FastBridge		FAST earlyreading, aReading, CBM-R	FAST probes
Escuela Exitos Charter School	Y	4283	11.1	>90	<1000		13.00%	Information Not Available	Information Not Available	Other	NWEA-MAP	F & P assessments, Imagine Learning assessments, NWEA-MAP	F & P probes
FARIBAULT PUBLIC SCHOOL DISTRICT	N	656	18.8	73.2	3000-3999	32.7	25.40%	Benchmark Literacy	PRESS	FastBridge		FAST earlyreading, aReading, CBM-R	FAST probes
FARMINGTON PUBLIC SCHOOL DISTRICT	N	192	18.6	26.6	5000-9999		32.90%	Information Not Available	Information Not Available	NWEA-MAP	Benchmark Assessment System	NWEA-MAP, MN Reading Corps Benchmark assessments, BAS early literacy and ORF, DRA	Information Not Available
FILLMORE CENTRAL	N	2198	14.6	39.4	<1000	53	31.90%	Harcourt Trophies Curriculum	Information Not Available	AIMSweb	Other	AIMSweb assessments, DRA, Harcourt Trophies Curriculum assessments, Independent Reading Level Assessments IRLAs	Sight Word Lists, Harcourt reading curriculum assessments, and IRLAs
FISHER PUBLIC SCHOOL DISTRICT	N	600	26.3	52.6	<1000	45.2	47.10%	Benchmark Literacy	Benchmark Literacy, LLI, Reader's Theater, Story Boards, Know-Want To Know	Benchmark Assessment System	FastBridge	FAST aReading, BAS	FAST aReading, BAS
FOREST LAKE PUBLIC SCHOOL DISTRICT	N	831	17.5	30.9	5000-9999	50.8	35.10%	Benchmark Advance	KPALS, PALS, Heggerty, Making Words, Literacy Footprints	FastBridge		FAST aReading, CBM-R, AUTOReading, earlyReading,	FAST probes
FOLEY PUBLIC SCHOOL DISTRICT	N	51	17.4	32.4	1000-2999	58.6	49.30%	Wonders by McGraw Hill	PRESS	FastBridge		FAST aReading, CBM-R, earlyReading,	FAST and PRESS probes
FULDA PUBLIC SCHOOL DISTRICT	N	505	12.5	53.3	<1000	44.1	38.30%	PALS, Explore the Code, Reading Eggs, Leveled Readers	Explore the Code, Reading Eggs, Leveled Readers, IXL, Read Naturally, Study Island, Reading A-Z,	AIMSweb		AIMSweb early literacy, CBM-R, Maze	AIMSweb probes
GLENVILLE-EMMONS SCHOOL DISTRICT	N	2886	22	41.6	<1000	34.7	33.30%	Basal Reading Curriculum	Lexia Reading, IXL, AR	NWEA-MAP	Other	Basal Unit tests, NWEA, IXL tests	IXL tests, Basal Unit tests
Granada Huntley East Chain	N	2536	15.2	61.9	<1000	41.8	29.30%	Wonders Balanced Literacy Reading Curriculum	Information Not Available	Star	FastBridge	FAST aReading, AUTOreading, STAR assessments	Information Not Available
GLOBAL ACADEMY	Y	4186	6.4	88.9	<1000	51.3	47.90%	Benchmark Workshop	Information Not Available	NWEA-MAP	Benchmark Assessment System	MAP Primary Grades Reading, MAP Reading for Grades 2-5, MAP Reading Fluency K-2, and the Fountas and Pinnell Benchmark Assessment System	BAS
GRAND MEADOW PUBLIC SCHOOL DISTRICT	N	495	13.5	32.4	<1000	40.1	22.00%	Rooted in Reading and Savaas	LLI, Great Leaps	FastBridge	Other	Fastbridge aReading and CBM reading assessments, Rooted in Reading assessments, and Savaas Learning Assessemnts	FAST and curriculum probes
GOODRIDGE PUBLIC SCHOOL DISTRICT	N	561	17.5	52.5	<1000	36.7	31.80%	Houghton Mifflin Reading, Saxon Phonics	Read With Me, Study Island, Saxon Phonics,	AIMSweb	Star	AIMSweb early literacy, reading, STAR Reading, AR tests, Sxon Phonics tests	
CLINTON-GRACEVILLE-BEARDSLEY	N	2888	19.2	45.8	<1000	62.6	61.20%	McMillan-McGraw-Hill Treasures, Fundations	PALS, K-PALS, AR, SOAR, Early Success	FastBridge	Star	FAST earlyreading and ORF assessments, STAR early literacy and reading, Treasures weekly unit assessments	FAST earlyreading and ORF assessments, STAR early literacy and reading, Treasures weekly unit assessments
GREEN ISLE COMMUNITY SCHOOL	Y	4144	21.3	36.2	<1000	44	N/A	Literacy by Design	Information Not Available	NWEA-MAP	Other	NWEA-MAP, DRA-2, Literacy by Design tests,	Literacy By Design Unit Tests
GRYGLA PUBLIC SCHOOL DISTRICT	N	447	9.6	48.1	<1000	39.7	48.30%	Pearson Reading Series	Information Not Available			Information Not Available	Information Not Available
GLENCOE-SILVER LAKE SCHOOL DISTRICT	N	2859	18.3	43.1	1000-2999	49.5	37.60%	Treasures	PALS / Great Leaps / Rewards / 6 Minute Solution / Soar to Success / Early Success / Read Naturally / Earobics / LiPS / Incremental Rehearsal	FastBridge	Other	F & P Instructional Reading Level, FAST earlyreading, aReading, CBM-R	F & P Instructional Reading Level, FAST earlyreading, aReading, CBM-R
HANCOCK PUBLIC SCHOOL DISTRICT	N	768	19.1	30.7	<1000	63.6	51.00%	Houghton Mifflin Reading Curriculum, Fundations	Fundations, FAST designed interventions, Heggerty, PALS, KPALS, Read Naturally, Wilson Reading	FastBridge	NWEA-MAP	FAST earlyreading, ORF, NWEA	Information Not Available
HASTINGS PUBLIC SCHOOL DISTRICT	N	200	16.3	30.1	4000-4999	52.1	34.60%	Information Not Available	sonday, Heggerty, Making Words, Road to Reading, LLI, Reading A-Z	FastBridge	Benchmark Assessment System	FAST aReading, early literacy, ORF, BAS	FastBridge™ early literacy measures (K-2) - FastBridge™ Reading Curriculum Based Oral Reading Fluency (1-4
HAWLEY PUBLIC SCHOOL DISTRICT	N	150	11.4	21.6	1000-2999	62.5	41.20%	Wonders	PRESS, Heggerty, Seeing Stars, Duet Reading, Pencil Tap,	Star		STAR CBMs, STAR Early Literacy, and STAR Reading	STAR probes
HMONG COLLEGE PREP ACADEMY	Y	4103	10	85	1000-2999	24.3	23.30%	Core Knowledge Language Arts (CKLA), Heggerty	FAST Intervention Bank, Heggerty, Read Naturally, Great Leaps	FastBridge		FAST earlyreading, aReading, CBM-R	FAST probes
HENDRICKS PUBLIC SCHOOL DISTRICT	N	402	12.3	50.2	<1000	48.4	25.80%	Reading Wonders	Information Not Available	NWEA-MAP		NWEA-MAP	Information Not Available
HERMAN-NORCROSS SCHOOL DISTRICT	N	264	21.6	52.9	<1000	28.3	N/A	Scott Foresman Reading Street and PreK Houghton Mifflin	FAST tailored interventions, Heggerty, Fundations interventions, PALS, KPALS, Read Naturally, AR	FastBridge		FAST earlyreading, CBM-R, aReading	Information Not Available
HIGHER GROUND ACADEMY	Y	4027	3.7	>90	1000-2999	48.5	47.00%	Reading Street curriculum	Lexia, Read Naturally,	FastBridge		FAST assessments	Lexia and read naturally assessments, Curriculum tests
HOWARD LAKE-WAVERLY-WINSTED	N	2687	16	34.6	1000-2999	49.4	35.20%	Benchmark Advance	PALS, Steps to Advance, SOAR, Great Leaps	Star	Other	STAR early literacy and reading, Reading series benchmark units, PRESS assessments	Information Not Available
WRENSHALL PUBLIC SCHOOL DISTRICT	N	100	25.1	53.6	<1000		39.10%	Information Not Available	Information Not Available	NWEA-MAP		NWEA-MAP	Information Not Available
NORTHLAND COMMUNITY SCHOOLS	N	118	21.8	79.8	<1000	24.5	16.40%	The Total Reading Program (K-3)	Information Not Available	NWEA-MAP	Star	NWEA-MAP, STAR assessments, Words Their Waya tests	Information Not Available
CENTENNIAL PUBLIC SCHOOL DISTRICT	N	12	18.3	26.9	5000-9999	61.7	40.00%	Benchmark Advance curriculum	Benchmark Spring Forward, Benchmark Steps to Advance	FastBridge		FAST earlyreading, aReading, CBM-R, Benchmark Advance weekly units	FAST and Benchmark Advance assessments
North Branch Area Public Schools	N	138	15.9	37.6	1000-2999	51.2	32.50%	Benchmark Literacy, Heggerty, LETRS	PRESS, LLI, Newscaster, Great Leaps, Duet Reading, 18 minute solution, LETRS	FastBridge		FAST earlyreading, aReading, CBM-Rs, PRESS and F & P assessments	FAST probes and CBMs
Moorhead Area Public Schools	N	152	20.4	48.6	5000-9999	47.1	29.10%	Benchmark Literacy Common Core Edition	LLI, Flyleaf Press Intervention modules, LiPPs LETRS, Reading Mastery, ReadSpell	AIMSweb	Benchmark Assessment System	AIMSweb early literacy, Reading Comp, ORF, BAS	AIMSweb probes
BRAINERD PUBLIC SCHOOL DISTRICT	N	181	25.4	46	5000-9999	56.2	40.50%	Benchmark Literacy and Words Their Way	LLI, Words Their Way, Say It-Match It, HFW Lists	Benchmark Assessment System		BAS, HFW lists, unit assessments from Words their way and Benchmark Literacy	Information Not Available
Burnsville-Eagan-Savage Schools	N	191	17.9	65.1	5000-9999	42	22.70%	The Being a Reader and Making Meaning curriculum	SIPPS, LLI, FAST interventions,	FastBridge		FAST earlyreading, aReading, CBM-R	FAST probes
Lakeville Area Schools	N	194	15.5	22	10,000-19,999	63.6	34.80%	Benchmark Literacy	Readers Theater, Read Naturally,	Benchmark Assessment System	FastBridge	NWEA-MAP, BAS, FAST assessments, DRA-2	FastBridge, Observational Survey, Curriculum Based Monitoring tools (CBM), and Informal Spelling/Structured Literacy Inventories.
West St. Paul-Mendota Heights-Eagan	N	197	20.8	46.9	5000-9999	56.3	31.00%	Collaborative Literacy	Systematic Instruction in Phonemic Awareness, Phonic and Sight Words (SIPPS)	FastBridge		FAST earlyreading, aReading, CBM-R	FAST probes
MAPLE RIVER SCHOOL DISTRICT	N	2135	18.8	40.1	<1000		45.40%	Information Not Available	Information Not Available	Star	NWEA-MAP	NWEA-MAP, STAR assessments	Information Not Available
ST. LOUIS COUNTY SCHOOL DISTRICT	N	2142	24.2	51.1	1000-2999	45.7	37.50%	Mondo Guided Reading Program, CAFE, Words Their Way	Information Not Available	Star	Other	STAR Assessment, Mondo and Words Their Way assessments	STAR Assessment, Mondo and Words Their Way assessments
CHISAGO LAKES SCHOOL DISTRICT	N	2144	13.9	25.5	3000-3999	56.6	38.30%	Functional Phonics (K-2), Core Knowledge Language Arts (CKLA) Skills (3-5)	PRESS, LETRS, Reading Wonders Tier 2 Binders, Word Building, Rewards, Wonderworks/Foundational Skills, Repeated Reading, Read Naturally, Six Minute Solution, 18 Minute Solution, Pencil Tap, Stop/G, Newscaster, Fast for Success, Duet Reading	FastBridge		FAST earlyreading, aReading, AUTOReading, CBM-R	FAST probes
YELLOW MEDICINE EAST	N	2190	25.3	51.5	<1000	40.3	34.90%	Journeys, Benchmark Literacy	Information Not Available	Star	Other	Renaissance Learning STAR Early Literacy and Reading, DRA-2	STAR probes
LE SUEUR-HENDERSON SCHOOL DISTRICT	N	2397	18.9	39.7	<1000	50.3	38.30%	Information Not Available	LLI	NWEA-MAP		NWEA-MAP	NWEA-MAP, LLI
DEER RIVER PUBLIC SCHOOL DISTRICT	N	317	27.2	69.7	<1000		28.10%	Information Not Available	Information Not Available	FastBridge	Benchmark Assessment System	FAST assessments, Heggerty tests, STAR Reading, BAS, Rigby	FAST assessments, Heggerty tests, STAR Reading, BAS, Fry Lists
GRAND RAPIDS PUBLIC SCHOOL DISTRICT	N	318	21	48.6	4000-4999	53.9	41.40%	Houghton Mifflin Harcourt Journeys	Information Not Available	FastBridge	Star	FAST earlyreading, aReading Autoreading CBM Reading, STAR Reading,	Fastbridge and STAR CBMs
INTERNATIONAL FALLS SCHOOL DISTRICT	N	361	19.8	43.1	<1000	53.5	39.70%	Houghton Mifflin-Harcourt Journeys	LLI, Read Live, Journeys Reading Toolkit, Reading Footprints, Literacy Toolkit	Star		STAR Early Literacy, STAR Reading	STAR probes
LITTLEFORK-BIG FALLS SCHOOL DIST.	N	362	12.5	44.5	<1000		30.40%	Information Not Available	Information Not Available	Star		STAR CBMs	STAR CBMs
LAKE SUPERIOR PUBLIC SCHOOL DIST.	N	381	21.6	38.7	1000-2999	43.9	32.50%	Information Not Available	LLI, AR, Orton-Gillingham, HFW,	NWEA-MAP		NWEA-MAP	Information Not Available
CLEVELAND PUBLIC SCHOOL DISTRICT	N	391	14.5	28	<1000	59	40.80%	Benchmark Literacy	Benchmark Literacy Intervention Support, Study Island, Florida Center for Reading Research Interventions	FastBridge	Star	FAST CBMs, aReading, STAR early literacy, Benchmark Literacy assessments,	FAST probes
E.C.H.O. CHARTER SCHOOL	Y	4026	31.3	82.8	<1000	30.4	N/A	Core Knowledge integrated reading program	Information Not Available	Star		Star Early Literacy and Reading,	Star Early Literacy and Reading,
SAUK RAPIDS-RICE PUBLIC SCHOOLS	N	47	21.5	39.4	4000-4999	53.5	40.30%	Houghton Mifflin Harcourt Journeys, PALS,	Path to Reading Excellence in School Sites (PRESS) Peer-Assisted Learning Strategies (PALS) 6 Minute Solution Read 180 Current Basal & Anthology Series Digital Learning Tools, LLI	FastBridge		FAST early literacy, areading, CBMs	FAST probes
PRINCETON PUBLIC SCHOOL DISTRICT	N	477	17.2	38.2	3000-3999	50.8	38.70%	Heggerty Primary, Kipatrick Equipped for Reading Success, SuperKids, HMH Journeys	PRESS, West Virginia Phonics, Bridge2Read, REWARDS, Read Naturally, Orton Gillingham,	FastBridge	Star	FAST Reading Assessments (K-2), and STAR Reading (3-8).	Information Not Available
SOUTHLAND PUBLIC SCHOOL DISTRICT	N	500	16.7	36.2	<1000		43.40%	Information Not Available	Information Not Available	FastBridge	Star	FAST and STAR early literacy and Reading assessments, DRA-2	FAST and STAR probes
ADRIAN PUBLIC SCHOOL DISTRICT	N	511	17.6	42.6	<1000	53.1	44.30%	Wonders 2023 Reading Series, Visual Phonics, Daily 5	Wonder Works, Really Great Reading Instruction	FastBridge		FAST early literacy, aReading, CBMs	FAST probes
WORTHINGTON PUBLIC SCHOOL DISTRICT	N	518	16	77.5	3000-3999	36.6	27.90%	Benchmark Literacy reading curriculum	Information Not Available	FastBridge		FAST early literacy, aReading, CBMs, Benchmark Oral Reading Records Assessment (K-4)	FAST probes
North St. Paul-Maplewood Oakdale	N	622	19.3	64.2	10,000-19,999	37.2	25.70%	Information Not Available	Lexia, PRESS, Fundations, Read Naturally, Crack the Code, Learning A-Z			FAST early literacy, aReading, CBMs	
WABASSO PUBLIC SCHOOL DISTRICT	N	640	14.3	46.8	<1000	51.9	42.90%	Reading Street, Words Their Way, Literacy Footprints	REWARDS, SRA, Read Naturally, Explode the Code, Newscaster, Duet Reading, Rime Magic,	Star		STAR early literacy and Reading assessments	STAR early literacy and Reading assessments
HOLDINGFORD PUBLIC SCHOOL DISTRICT	N	738	13.6	23.2	1000-2999	62.5		Wonders Reading	Information Not Available	AIMSweb		AIMSweb early literacy and Reading assessments	AIMSweb early literacy and Reading assessments, easyCBMs
MELROSE PUBLIC SCHOOL DISTRICT	N	740	16.8	44.8	1000-2999			Information Not Available	Information Not Available	FastBridge		FAST early literacy, AUTOreading, aReading, CBMs	Information Not Available
