School Name	Charter (Y/N)	District #	SpEd (%)	Free & Reduced Lunch (%)	District Enrollment	MCA Reading Proficiency %	MCA Reading proficiency % for F&R	Tier 1 Reading Curriculum Used	Tier 2 Reading Interventions Materials	Screening Vendor 1	Screening Vendor 2	Screening measures	Progress Monitoring Measures
FIT Academy	Y	4244	19.6	42.7	<1000	36.1	22.60%	Core Knowledge Language Arts curriculum	Information Not Available	FastBridge		FastBridge earlyreading, areading,	FastBridge earlyreading, areading,
GFW Public Schools	N	2365	20.3	54.5	<1000	46.6	40.40%	McGraw Hill Reading Wonders Balanced Literacy Curriculum	PRESS, LLI,ADSIS, Read Naturally/Repeated Reading	FastBridge		FastBridge earlyreading, aReading, CBMs	FastBridge earlyreading, CBMs
Great Oaks Academy Charter School	Y	4268	9.7	22	<1000	66.7	N/A	Reading Mastery	Information Not Available	NWEA-MAP	Other	Reading mastery fluency assessments, NWEA CAT	Information Not Available
HAYFIELD PUBLIC SCHOOL DISTRICT	N	203	16	42	<1000	41.2	29.60%	Fountas & Pinnell Classroom	Florida Center Reading Research activities, Explicit Instruction, Repeated Reading, Phonics and Word Study	FastBridge	Benchmark Assessment System	FastBridge earlyreading, aReading, CBMs, F & P BAS	FastBridge earlyreading, aReading, CBMs, F & P BAS
HILL CITY PUBLIC SCHOOL DISTRICT	N	2	25	70.7	<1000	35.2	21.30%	Wonders	WonderWorks, K-1 Orton-Gillingham, Recipe for Reading, Equipped for Reading Success-Kilpatrick, Reading A-Z, Phonological Awareness-Zgonc, and PRESS word lists	Star	Other	Wonder and Star early literacy assessments and ORF, Pearsons Edu Words their Way Decoding	Wonder and Star early literacy assessments and ORF, Pearsons Edu Words their Way Decoding
WACONIA PUBLIC SCHOOL DISTRICT	N	110	19.2	12.9	4000-4999		39.50%	Information Not Available	Information Not Available	FastBridge		FastBridge earlyreading, aReading, CBMs	FastBridge assessments
BARNUM PUBLIC SCHOOL DISTRICT	N	91	15.7	37.1	<1000	61.9	46.40%	The Center for Collaborative Classroom Being a Reader & Making Meaning, Heggerty Phonemic Awareness Curriculum K-2	Information Not Available	FastBridge	Benchmark Assessment System	FastBridge earlyreading, aReading, CBMs, Being a Reader (BAR) Assessment, Benchmark Assessment System (BAS)	FastBridge early reading, CBMs, Phonemic Awareness Quick Checks
LAKE OF THE WOODS SCHOOL DISTRICT	N	390	12.8	42.8	<1000	37.9	26.00%	Information Not Available	barton system, System 44, Read 180, words their way, IXL	AIMSweb	FastBridge	NWEA-MAP, Qualitative Reading Inventory (QRI), AIMSweb and FastBridge early literacy and reading assessments	AIMSweb and FastBridge early literacy and reading assessments
Midway Star Academy	Y	4153	5.8	>90	<1000	17.1	16.20%	Benchmark	Interactive Read Aloud ● Modeled Shared Readings ● Guided Reading ● Phonics/Word Study ● Flexible Leveled/Guided Reading Groups (based on reading level and skill needs) ● LEXIA	NWEA-MAP	DIBELS	NWEA MAP, DIBELS assessments, F & P Leveling system	Information Not Available
AFSA HIGH SCHOOL	Y	4074	23.3	54.5	<1000	38.4	26.00%	Read Well	Information Not Available	DIBELS	Star	DIBELS NEXT, STAR assessments	STAR assessments and CBMs
